Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.20	86.00	7.40
22.30	86.00	7.52
22.10	86.00	7.33
22.20	86.00	7.48
22.20	86.00	7.42
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.48
22.20	86.00	7.44
22.30	86.00	7.54
22.20	86.00	7.38
22.30	86.00	7.83
22.30	86.00	7.40
22.30	86.00	7.48
22.30	86.00	7.44
22.20	86.00	7.46
22.30	86.00	7.48
22.20	86.00	7.38
22.20	86.00	7.52
22.30	86.00	7.40
22.30	86.00	7.54
22.20	86.00	7.33
22.20	86.00	7.54
22.30	86.00	7.42
22.20	86.00	7.46
22.20	86.00	7.48
22.20	86.00	7.42
22.20	86.00	7.48
22.30	86.00	7.35
22.30	86.00	7.52
22.20	86.00	7.38
22.20	87.00	7.54
22.20	87.00	7.38
22.30	86.00	7.52
22.20	86.00	6.48
22.30	86.00	7.50
22.30	87.00	7.40
22.30	86.00	7.50
22.20	87.00	7.33
22.30	86.00	7.52
22.20	86.00	7.42
22.20	86.00	7.48
22.20	86.00	7.42
22.20	86.00	7.25
22.30	87.00	7.44
22.30	86.00	7.50
22.20	86.00	7.48
22.20	86.00	7.40
22.20	86.00	7.56
22.30	86.00	7.35
22.20	86.00	7.54
22.30	86.00	7.42
22.20	86.00	7.52
22.20	86.00	7.33
22.20	86.00	7.52
22.20	87.00	7.35
22.20	86.00	7.52
22.30	86.00	7.38
22.20	86.00	7.50
22.20	87.00	7.42
22.20	86.00	7.46
22.20	86.00	7.48
22.20	86.00	7.46
22.30	86.00	7.48
22.30	87.00	7.42
22.30	87.00	7.52
22.20	86.00	7.46
22.20	86.00	7.90
22.20	86.00	7.92
22.20	86.00	7.61
22.30	87.00	7.25
22.20	87.00	7.50
22.20	87.00	7.85
22.20	86.00	7.46
22.20	86.00	7.40
22.30	86.00	7.52
22.30	86.00	7.44
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.48
22.20	86.00	7.44
22.20	86.00	7.46
22.20	86.00	7.27
22.20	86.00	7.69
22.20	86.00	7.76
22.20	86.00	7.23
22.20	86.00	8.04
22.20	86.00	7.35
22.10	86.00	7.48
22.20	86.00	7.48
22.20	86.00	7.38
22.10	86.00	7.54
22.30	86.00	7.40
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.52
22.20	86.00	7.40
22.20	86.00	7.52
22.20	86.00	7.35
22.20	86.00	7.50
22.20	86.00	7.35
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.50
22.20	86.00	7.40
22.20	86.00	7.46
22.20	86.00	7.50
22.20	86.00	7.42
22.20	86.00	7.54
22.20	86.00	7.29
22.20	86.00	7.56
22.20	86.00	7.44
22.20	86.00	7.52
22.20	86.00	7.40
22.20	86.00	7.54
22.20	86.00	7.40
22.20	86.00	7.50
22.20	86.00	7.44
22.20	86.00	7.42
22.20	86.00	7.52
22.20	86.00	7.40
22.20	86.00	7.50
22.20	86.00	7.35
22.20	86.00	7.50
22.20	86.00	7.44
22.20	86.00	7.48
22.20	86.00	7.46
22.20	86.00	7.44
22.20	86.00	7.54
22.20	86.00	7.35
22.20	86.00	7.52
22.20	86.00	7.42
22.20	86.00	7.50
22.20	86.00	6.46
22.20	86.00	7.97
22.30	86.00	7.42
22.20	86.00	7.46
22.20	86.00	7.52
22.20	86.00	7.33
22.20	86.00	7.54
22.20	86.00	7.35
22.20	86.00	8.02
22.20	86.00	7.38
22.20	86.00	7.44
22.20	86.00	6.59
22.20	86.00	7.18
22.20	86.00	7.46
22.20	86.00	7.46
22.20	86.00	7.54
22.20	86.00	7.35
22.20	86.00	7.52
22.20	86.00	6.45
22.20	86.00	7.52
22.20	86.00	7.33
22.20	86.00	7.52
22.20	86.00	7.20
22.20	86.00	7.44
22.20	86.00	7.40
22.20	86.00	7.46
22.20	86.00	7.54
22.20	86.00	7.78
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.48
22.20	86.00	7.33
22.20	86.00	7.54
22.10	86.00	7.38
22.20	86.00	7.52
22.20	86.00	7.42
22.20	86.00	7.48
22.20	86.00	7.40
22.20	86.00	7.31
22.20	86.00	7.48
22.10	86.00	7.35
22.20	86.00	7.52
22.20	86.00	7.35
22.20	86.00	7.52
22.10	86.00	7.38
22.20	86.00	7.52
22.20	86.00	7.38
22.20	86.00	7.52
22.20	86.00	6.45
22.20	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.50
22.20	86.00	6.57
22.20	86.00	7.10
22.20	86.00	7.08
22.20	86.00	7.81
22.20	86.00	7.56
22.10	86.00	7.38
22.20	86.00	7.50
22.20	86.00	7.40
22.20	86.00	7.54
22.20	86.00	7.35
22.20	86.00	7.52
22.20	86.00	7.40
22.20	86.00	7.52
22.20	86.00	7.38
22.20	86.00	7.50
22.10	86.00	7.40
22.20	86.00	7.76
22.20	86.00	6.46
22.20	86.00	7.40
22.20	86.00	7.97
22.20	86.00	7.35
22.20	86.00	7.44
22.20	86.00	7.92
22.20	86.00	7.35
22.20	86.00	7.01
22.10	86.00	7.14
22.20	86.00	7.22
22.20	86.00	7.46
22.20	86.00	7.40
22.20	86.00	7.44
22.20	86.00	7.46
22.10	86.00	7.44
22.20	86.00	7.38
22.20	86.00	7.44
22.20	86.00	7.31
22.20	86.00	7.44
22.20	86.00	7.23
22.20	86.00	7.52
22.20	86.00	7.40
22.20	86.00	7.46
22.10	86.00	7.27
22.20	86.00	7.48
22.20	86.00	7.40
22.20	86.00	7.44
22.20	86.00	7.31
22.20	86.00	7.42
22.20	86.00	7.35
22.20	86.00	7.29
22.20	86.00	7.52
22.20	86.00	7.38
22.20	86.00	7.44
22.10	86.00	7.42
22.20	86.00	7.44
22.20	86.00	7.29
22.20	86.00	7.42
22.20	86.00	7.31
22.20	86.00	7.52
22.20	86.00	7.33
22.20	86.00	7.54
22.20	86.00	7.35
22.20	86.00	7.31
22.20	86.00	7.46
22.20	86.00	7.33
22.20	86.00	7.44
22.20	86.00	7.27
22.20	86.00	7.90
22.20	86.00	7.23
22.20	86.00	7.44
22.20	86.00	7.33
22.20	86.00	7.40
22.20	86.00	7.33
22.20	86.00	7.33
22.20	86.00	7.33
22.20	86.00	7.29
22.20	86.00	7.44
22.20	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.76
22.20	86.00	7.44
22.20	86.00	7.25
22.20	86.00	7.72
22.20	86.00	7.83
22.20	86.00	7.18
22.20	86.00	7.27
22.20	86.00	7.38
22.20	86.00	7.38
22.20	86.00	7.33
22.20	86.00	7.44
22.20	86.00	6.38
22.20	86.00	7.44
22.20	86.00	7.33
22.10	86.00	7.40
22.20	86.00	7.27
22.20	86.00	7.40
22.10	86.00	7.50
22.20	86.00	7.29
22.20	86.00	7.44
22.10	86.00	6.99
22.20	86.00	7.44
22.20	86.00	7.31
22.20	86.00	7.44
22.20	86.00	7.33
22.20	86.00	7.78
22.20	86.00	7.31
22.20	86.00	7.42
22.20	86.00	6.35
22.20	86.00	7.67
22.20	86.00	7.74
22.20	86.00	7.72
22.20	86.00	6.51
22.20	86.00	7.01
22.20	86.00	7.72
22.20	86.00	7.72
22.20	86.00	7.78
22.20	86.00	7.35
22.20	86.00	7.35
22.20	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.29
22.20	86.00	7.46
22.20	86.00	7.29
22.20	86.00	7.42
22.10	86.00	7.31
22.20	86.00	7.20
22.20	86.00	7.63
22.20	86.00	7.38
22.20	86.00	7.22
22.20	86.00	7.27
22.20	86.00	7.46
22.20	86.00	7.33
22.10	86.00	7.42
22.20	86.00	7.29
22.20	86.00	7.42
22.20	86.00	7.33
22.20	86.00	6.97
22.20	86.00	7.27
22.20	86.00	7.40
22.20	86.00	7.46
22.20	86.00	7.46
22.20	86.00	7.25
22.20	86.00	7.46
22.20	86.00	6.42
22.20	87.00	7.42
22.20	86.00	7.33
22.20	86.00	7.40
22.20	86.00	7.90
22.20	86.00	7.27
22.20	86.00	7.33
22.20	86.00	7.33
22.20	86.00	7.46
22.20	86.00	7.31
22.20	86.00	7.46
22.20	86.00	7.67
22.20	86.00	7.08
22.20	86.00	7.12
22.20	86.00	7.40
22.20	86.00	7.50
22.20	86.00	7.85
22.20	86.00	7.31
22.20	86.00	7.40
22.30	86.00	7.54
22.20	86.00	7.20
22.20	86.00	6.95
22.20	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.38
22.20	86.00	7.35
22.20	86.00	7.31
22.20	86.00	7.42
22.20	87.00	7.29
22.20	86.00	7.46
22.20	86.00	7.31
22.20	86.00	7.42
22.20	86.00	7.33
22.20	86.00	7.38
22.20	86.00	7.35
22.20	86.00	7.33
22.20	87.00	7.44
22.20	87.00	7.27
22.20	87.00	7.44
22.20	87.00	6.38
22.20	87.00	7.46
22.20	87.00	7.25
22.20	87.00	7.40
22.20	87.00	7.33
22.20	87.00	7.01
22.20	86.00	7.48
22.20	87.00	6.42
22.20	86.00	7.46
22.20	87.00	7.76
22.20	86.00	7.83
22.20	86.00	7.81
22.20	86.00	7.72
22.20	86.00	7.12
22.20	86.00	7.78
22.20	86.00	7.38
22.20	86.00	7.33
22.20	86.00	7.46
22.20	86.00	6.40
22.20	86.00	7.46
22.20	86.00	7.33
22.20	86.00	7.40
22.20	86.00	7.35
22.20	86.00	7.08
22.20	86.00	7.81
22.20	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.31
22.10	86.00	7.42
22.20	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.33
22.10	86.00	7.42
22.20	86.00	7.29
22.20	86.00	7.42
22.20	86.00	7.31
22.20	86.00	7.40
22.20	86.00	7.35
22.20	86.00	7.33
22.20	86.00	7.46
22.20	86.00	6.99
22.20	86.00	7.29
22.20	86.00	7.38
22.10	86.00	7.40
22.20	86.00	7.31
22.20	86.00	7.46
22.20	86.00	7.31
22.10	86.00	7.42
22.20	86.00	7.31
22.20	86.00	7.44
22.20	86.00	7.61
22.20	86.00	7.16
22.10	86.00	6.46
22.20	86.00	7.04
22.20	86.00	7.23
22.20	86.00	7.46
22.20	86.00	7.29
22.20	86.00	6.97
22.20	86.00	7.31
22.20	86.00	7.16
22.20	86.00	7.08
22.20	86.00	6.99
22.20	86.00	7.31
22.20	86.00	7.44
22.20	86.00	7.33
22.20	86.00	7.33
22.10	86.00	7.33
22.20	86.00	7.42
22.20	86.00	7.31
22.20	86.00	7.29
22.20	86.00	7.29
22.20	86.00	7.44
22.10	86.00	7.31
22.20	86.00	7.42
22.20	86.00	7.35
22.20	86.00	7.42
22.20	86.00	7.04
22.20	86.00	7.40
22.10	86.00	7.33
22.20	86.00	7.48
22.20	86.00	7.44
22.20	86.00	7.42
22.20	86.00	7.35
22.20	86.00	7.29
22.20	86.00	7.40
22.20	86.00	7.31
22.20	86.00	7.44
22.10	86.00	7.31
22.20	86.00	7.40
22.20	86.00	7.22
22.20	86.00	7.42
22.20	86.00	7.22
22.20	86.00	7.44
22.10	86.00	7.29
22.20	86.00	7.33
22.20	86.00	7.31
22.20	86.00	6.88
22.20	86.00	7.56
22.20	86.00	7.33
22.10	86.00	7.18
22.10	86.00	7.33
22.20	86.00	7.27
22.20	86.00	7.25
22.20	86.00	7.27
22.20	86.00	7.27
22.20	86.00	7.27
22.20	86.00	7.27
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.18
22.20	86.00	7.38
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.20
22.20	86.00	7.33
22.20	86.00	7.23
22.20	86.00	7.44
22.20	86.00	7.20
22.20	86.00	7.81
22.20	86.00	6.81
22.20	86.00	7.33
22.20	85.00	7.22
22.20	86.00	7.29
22.20	86.00	7.27
22.10	86.00	7.29
22.20	86.00	7.27
22.20	86.00	7.27
22.10	86.00	7.20
22.20	86.00	6.88
22.20	86.00	7.31
22.20	85.00	7.27
22.20	86.00	7.27
22.20	86.00	7.10
22.20	86.00	7.65
22.20	85.00	7.63
22.20	86.00	7.46
22.20	86.00	7.23
22.20	86.00	7.31
22.20	86.00	7.22
22.20	86.00	7.31
22.20	86.00	7.20
22.20	86.00	7.27
22.10	86.00	7.29
22.20	86.00	7.22
22.20	85.00	7.33
22.10	86.00	7.18
22.20	86.00	7.35
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.22
22.20	86.00	7.31
22.10	86.00	7.20
22.20	86.00	7.33
22.20	86.00	6.34
22.20	86.00	7.29
22.20	86.00	6.42
22.20	86.00	7.33
22.20	86.00	7.20
22.20	86.00	7.27
22.20	86.00	6.34
22.20	86.00	6.93
22.20	86.00	6.35
22.20	86.00	7.29
22.20	86.00	7.31
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.23
22.20	86.00	7.35
22.20	86.00	7.23
22.20	86.00	7.33
22.20	86.00	7.22
22.20	86.00	7.35
22.20	86.00	7.22
22.20	86.00	7.33
22.20	86.00	7.20
22.10	86.00	7.31
22.10	86.00	7.22
22.20	86.00	7.27
22.20	86.00	7.23
22.20	86.00	7.25
22.20	86.00	7.29
22.20	86.00	7.76
22.20	86.00	6.97
22.20	86.00	7.63
22.20	86.00	7.06
22.20	86.00	7.65
22.20	85.00	7.69
22.20	86.00	6.99
22.20	85.00	7.04
22.20	86.00	7.23
22.10	85.00	7.31
22.20	86.00	7.22
22.20	86.00	7.29
22.20	86.00	7.23
22.20	86.00	7.29
22.20	86.00	7.29
22.20	85.00	7.20
22.20	86.00	7.33
22.20	86.00	7.23
22.20	85.00	7.35
22.20	86.00	6.37
22.20	85.00	7.35
22.10	85.00	7.22
22.20	85.00	7.29
22.10	85.00	7.35
22.20	85.00	7.40
22.20	85.00	7.38
22.20	85.00	7.14
22.20	85.00	7.33
22.20	85.00	7.23
22.20	85.00	7.35
22.10	85.00	7.22
22.20	85.00	7.38
22.20	85.00	7.22
22.20	85.00	7.35
22.10	85.00	7.23
22.20	85.00	7.29
22.20	85.00	7.25
22.20	85.00	7.25
22.10	85.00	7.35
22.20	85.00	7.22
22.20	85.00	7.33
22.20	85.00	7.22
22.20	85.00	6.99
22.20	85.00	7.50
22.20	85.00	7.69
22.20	85.00	6.92
22.10	85.00	7.61
22.20	85.00	7.65
22.20	85.00	6.92
22.20	85.00	6.32
22.20	85.00	6.74
22.20	85.00	7.33
22.20	85.00	7.22
22.20	85.00	7.33
22.20	85.00	7.22
22.20	85.00	7.27
22.20	86.00	7.78
22.20	85.00	7.22
22.20	86.00	7.23
22.20	86.00	7.31
22.20	85.00	7.27
22.20	85.00	7.18
22.20	86.00	7.33
22.20	86.00	7.20
22.10	86.00	7.04
22.20	86.00	7.18
22.20	86.00	7.38
22.20	85.00	7.18
22.20	86.00	7.08
22.20	86.00	6.93
22.20	85.00	7.31
22.20	86.00	7.01
22.20	86.00	7.25
22.20	86.00	7.31
22.20	85.00	7.18
22.20	86.00	7.16
22.20	85.00	7.29
22.20	85.00	7.16
22.20	85.00	7.22
22.20	86.00	7.23
22.10	85.00	7.23
